,Molecule ChEMBL ID,Canonical_Smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
3589,CHEMBL3325480,CCOC(=O)C1=C(N)N(c2cccnc2)C2=C(C(=O)CCC2)C1c1cc2cc(Cl)ccc2n2nnnc12,4.777283528852417,515.1472652440001,10,1,3.670200000000002,True
3591,CHEMBL53940,CNc1cc2c(Nc3ccccc3)ncnc2cn1,8.045757490560675,251.11709541599998,5,2,2.8101000000000003,True
3592,CHEMBL473944,C=CC(=O)Nc1cc2c(Cc3cccc(Br)c3)ncnc2cc1OCCCn1ccnc1,8.51999305704285,491.0956870440001,6,1,4.773200000000004,True
3593,CHEMBL3604926,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Oc3ccccc3[N+](=O)[O-])n2)n[nH]1,5.721246399047171,410.18148656400007,9,2,2.7040200000000008,True
3594,CHEMBL571040,C=CC(=O)N1CCC[C@H]1C(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCCOC,7.619788758288394,513.1579101799999,7,2,4.306600000000002,True
3597,CHEMBL3647421,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/[C@@H]1CCCN1C,8.397940008672037,469.16808094000004,6,2,5.153500000000005,True
3598,CHEMBL74481,Cc1ccc(Nc2ncnc3[nH]c4c(c23)CCCC4)cc1,6.958607314841775,278.153146576,3,2,3.888720000000002,True
3599,CHEMBL135853,COc1cc2ncnc(Oc3cccc(Cl)c3)c2cc1OC,7.698970004336019,316.061469956,5,0,4.0927000000000024,True
3600,CHEMBL119156,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccn2)c1O,4.6020599913279625,341.08341234000005,6,2,2.4803800000000016,True
3601,CHEMBL290106,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,6.211831628858832,353.88426115199997,3,2,5.862600000000001,True
3603,CHEMBL48436,O=C(NCc1ccccc1)c1cc2ccc(O)c(O)c2cn1,5.853871964321762,294.100442308,4,3,2.5760000000000014,True
3604,CHEMBL96489,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,6.798602875679549,357.05890761200004,5,2,3.7841000000000014,True
3605,CHEMBL5195593,Cc1ccc(/C=N/NC(=O)CNc2nc(-c3ccccc3)c(-c3ccccc3)s2)cc1,6.698970004336019,426.15143232400004,5,2,5.347720000000004,True
3606,CHEMBL1945644,O=C(NS(=O)(=O)c1ccc(Br)cc1)c1ccc(Cl)nc1,4.536554968229572,373.91275289600003,4,1,2.616200000000001,True
3610,CHEMBL5184084,CC(C)(/C=C(/C#N)C(=O)N1CCC[C@@H]1Cn1nc(-c2ccc(Oc3ccccc3)cc2F)c2c(N)ncnc21)N1CCOCC1,5.522878745280337,610.2816152,10,1,4.558680000000003,True
3611,CHEMBL5172236,C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCOCC4)cc3)nc3ccsc23)CC1,8.18495382393537,465.183460724,8,1,3.827300000000003,True
3612,CHEMBL1928887,COc1ccccc1CNc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,4.8576105338811635,390.12473890800004,5,2,5.647500000000003,True
3613,CHEMBL299672,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCCC1,7.1487416512809245,430.157181908,6,1,5.039200000000005,True
3614,CHEMBL349070,CN(C)CCCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.744727494896694,414.1167568360001,6,2,4.284600000000003,True
3615,CHEMBL92812,CNc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,8.397940008672037,328.03235851600004,4,2,4.177600000000002,True
3616,CHEMBL2262407,CCCNCC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,3.8859999926624793,461.08512236,5,3,4.554080000000003,True
3618,CHEMBL1928944,O=[N+]([O-])c1cccc(Oc2cc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncn2)c1,5.919373513078194,466.08441089200005,7,1,6.292200000000004,True
3619,CHEMBL181617,ClCCNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.0,376.00903622799996,4,2,4.786600000000003,True
3620,CHEMBL1203935,CCOc1cc2ncnc(Nc3cc(F)cc(C(F)(F)F)c3)c2cc1OCC,8.048176964684089,395.125689664,5,1,5.328700000000003,True
3621,CHEMBL4068839,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(OCc4ccccn4)c(Cl)c3)c3c(N)ncnc32)C1,8.275724130399212,489.16800068800006,8,1,4.052400000000002,True
3622,CHEMBL120185,CN1CCN(c2ccc3c(n2)nc(-c2ccc(F)cc2)n3-c2ccnc(NC3CCCC3)n2)CC1,5.060480747381382,472.2499211480001,8,1,4.122900000000003,True
